disease,symptoms,medicine,care,warning
Heat Stroke,high heat dizziness,None,Hospital immediately,true
Dehydration,dry mouth weakness,ORS,Drink water,false
Sunburn,red skin burning,Aloe gel,Avoid sun,false
Cold Injury,numb skin,None,Warm area,true
Motion Sickness,nausea travel,None,Rest,false
Sleep Problem,insomnia,None,Avoid phone,false
Stress,anxiety tension,None,Relaxation,false
Depression,sadness low mood,None,Doctor support,true
Alcohol Intoxication,drunk vomiting,None,Hospital,true
Poison Ingestion,poison swallowed,None,Emergency hospital,true
Snake Bite,bite swelling,None,Emergency hospital,true
Dog Bite,bite bleeding,None,Anti-rabies injection,true
Cold and Fever,cold fever shivering,Paracetamol,Warm fluids|Rest,false
Seasonal Allergy,sneezing runny nose,Antihistamine,Avoid dust,false
Sinus Problem,face pain blocked nose,Paracetamol|Steam inhalation,Steam inhalation,false
Tonsillitis,throat swelling pain,Paracetamol|Antibiotic,Doctor visit,false
Neck Pain,neck stiffness pain,Pain reliever,Warm compress,false
Shoulder Pain,shoulder pain stiffness,Pain reliever,Rest,false
Leg Pain,leg pain cramps,Pain reliever,Warm compress,false
Foot Pain,foot pain walking,Pain reliever,Rest,false
Muscle Cramps,leg cramps pain,ORS|Pain reliever,Stretching,false
Swelling,body swelling edema,None,Doctor consultation,true
Water Retention,swelling feet,None,Reduce salt|Doctor,true
Urine Infection,frequent urination pain,None,Drink water|Doctor,true
Frequent Urination,urine often,None,Doctor check,true
Burning Sensation,body burning feeling,None,Drink water,false
Mouth Ulcer,mouth sore pain,Gel ointment,Avoid spicy food,false
Lip Swelling,lip swelling allergy,Antihistamine,Cold compress,false
Nose Bleeding,nose bleeding blood,None,Sit upright|Cold compress,false
Dizziness,head spinning giddiness,None,Sit down|Rest,false
Fainting,loss of consciousness,None,Hospital visit,true
Weak Immunity,falling sick often,None,Nutritious food,false
Loss of Appetite,no hunger eating problem,None,Small meals,false
Weight Loss,unplanned weight loss,None,Doctor check,true
Weight Gain,weight increase,None,Exercise,false
Obesity,overweight fat,None,Diet control,false
Hair Fall,hair loss thinning,None,Protein diet,false
Dandruff,flaky scalp itching,Anti-dandruff shampoo,Keep scalp clean,false
Itching All Over,body itching,None,Antihistamine,false
Bed Sores,skin wound bed,None,Hospital care,true
Boils,skin boil pus,Antibiotic cream,Keep area clean,false
Piles,anal pain bleeding,None,Fiber diet|Doctor,true
Anal Fissure,anal pain tear,None,Warm sitz bath,true
Hernia,abdominal bulge pain,None,Doctor advice,true
Appendicitis,right stomach pain,None,Emergency hospital,true
Gall Stones,upper stomach pain,None,Doctor consultation,true
Liver Problem,liver pain swelling,None,Doctor care,true
Thyroid Problem,neck swelling fatigue,None,Doctor monitoring,true
Breast Pain,breast pain tenderness,None,Doctor check,false
Testicular Pain,testicle pain swelling,None,Emergency hospital,true
Sexual Weakness,low stamina,None,Doctor consultation,false
Infertility,no pregnancy,None,Doctor advice,true
Urinary Retention,cannot pass urine,None,Emergency hospital,true
Night Sweats,sweating at night,None,Doctor check,true
Excessive Sweating,too much sweat,None,Hydration,false
Cold Hands Feet,cold hands feet,None,Warm clothing,false

